(3R)-hydroxypalmitoyl-[acyl carrier protein] dehydratase	(3R)-hydroxypalmitoyl-[acyl carrier protein] dehydratase	(EC 4.2.1.-)
(E)-Cinnamoyl-CoA ligase	(E)-Cinnamoyl-CoA ligase	(EC 6.2.1.-)
(E)-beta-Ocimene Synthase	(E)-beta-Ocimene Synthase	(EC 4.2.3.106)
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	(EC 1.13.11.54)
"1,4-alpha-glucan (starch) branching enzyme"	"1,4-alpha-glucan (starch) branching enzyme, GH-13-type"	(EC 2.4.1.18)
"1,4-alpha-glucan phosphorylase"	"1,4-alpha-glucan phosphorylase"	(EC 2.4.1.1)
"1,4-dihydroxy-2-naphthoate polyprenyltransferase"	"1,4-dihydroxy-2-naphthoate polyprenyltransferase"	(EC 2.5.1.74)
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"	"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"	(EC 3.1.2.28)
"1,8-cineole synthase"	"1,8-cineole synthase"	(EC 4.2.3.108)
1-acyl-sn-glycerol-3-phosphate acyltransferase	1-acyl-sn-glycerol-3-phosphate acyltransferase	(EC 2.3.1.51)
1-aminocyclopropane-1-carboxylate synthase	1-aminocyclopropane-1-carboxylate synthase	(EC 4.4.1.14)
1-deoxy-D-xylulose 5-phosphate reductoisomerase	1-deoxy-D-xylulose 5-phosphate reductoisomerase	(EC 1.1.1.267)
1-deoxy-D-xylulose 5-phosphate synthase	1-deoxy-D-xylulose 5-phosphate synthase	(EC 2.2.1.7)
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	(EC 1.17.7.1)
Phosphoglycerate mutase	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"	(EC 5.4.2.11)
Phosphoglycerate mutase	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"	(EC 5.4.2.12)
"2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase"	"2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase"	(EC 3.1.3.77)
"2,3-dimethyl-6-phytyl-1,4-benzoquinone cyclase"	"2,3-dimethyl-6-phytyl-1,4-benzoquinone cyclase"	
"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	(EC 4.6.1.12)
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	(EC 2.7.7.60)
"2-Carboxy-1,4-naphthoquinone phytyltransferase"	"2-Carboxy-1,4-naphthoquinone phytyltransferase"	(EC 2.5.1.130)
2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase	(EC 2.5.1.55)
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	(EC 2.7.6.3)
2-dehydropantoate 2-reductase	2-dehydropantoate 2-reductase	(EC 1.1.1.169)
"2-heptaprenyl-1,4-naphthoquinone methyltransferase"	"2-heptaprenyl-1,4-naphthoquinone methyltransferase MenG of phylloquinone biosynthesis"	(EC 2.1.1.-)
2-isopropylmalate synthase	2-isopropylmalate synthase	(EC 2.3.3.13)
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II	(EC 2.5.1.54)
