type,id,compartment,stoichiometry,name,s
AA,cpd00023,d,0.130,Glutamate,protein
AA,cpd00033,d,0.150,Glycine,protein
AA,cpd00035,d,0.161,Alanine,protein
AA,cpd00039,d,0.096,Lysine,protein
AA,cpd00041,d,0.098,Aspartate,protein
AA,cpd00051,d,0.110,Arginine,protein
AA,cpd00053,d,0.071,Glutamine,protein
AA,cpd00054,d,0.100,Serine,protein
AA,cpd00060,d,0.049,Methionine,protein
AA,cpd00065,d,0.024,Tryptophan,protein
AA,cpd00066,d,0.074,Phenylalanine,protein
AA,cpd00069,d,0.049,Tyrosine,protein
AA,cpd00084,d,0.029,Cysteine,protein
AA,cpd00107,d,0.172,Leucine,protein
AA,cpd00119,d,0.038,Histidine,protein
AA,cpd00129,d,0.096,Proline,protein
AA,cpd00156,d,0.127,Valine,protein
AA,cpd00161,d,0.096,Threonine,protein
AA,cpd00322,d,0.083,Isoleucine,protein
AA,cpd00132,d,0.056,Asparagine,protein
NA,cpd00114,d,0.109,IMP,dna
NA,cpd00091,c,0.109,UMP,dna
CW,cpd19001,d,1.590,alpha-D-Glucose,cellwall
CW,cpd00080,d,0.1300,Glycerol-3-Phosphate,cellwall
CW,cpd00604,c,0.550,p-coumaric acid,cellwall
FA,cpd00214,d,0.329,Palmitate,lipid
FA,cpd00536,d,0.015,Oleate,lipid
FA,cpd01080,d,0.011,Stearate,lipid
CA,cpd00032,d,0.0757,Oxaloacetate,other
CA,cpd00130,d,0.037,Malate,other
CA,cpd00137,c,0.013,Citrate,other
CA,cpd00331,d,0.086,cis-Aconitate,other
CA,cpd00159,c,0.039,Lactate,other
CA,cpd19035,d,0.2271,beta-fructose-6-phosphate,other
CA,cpd00163,d,0.039,UDP-Xylose,other
CA,cpd00014,d,-0.039,UDP,other
