Accession	STD Annot.	Curated Loc.
AT1G01080.1	RNA-binding (RRM/RBD/RNP motifs) family protein	plastid stroma
AT1G01080.2	RNA-binding (RRM/RBD/RNP motifs) family protein	plastid stroma
AT1G01090.1	pyruvate dehydrogenase E1 alpha	envelope-inner-peripheral-stromal-side
AT1G01790.1	K+ efflux antiporter 1	envelope-inner-integral
AT1G01860.1	Ribosomal RNA adenine dimethylase family protein	plastid
AT1G02150.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT1G02280.1	translocon at the outer envelope membrane of chloroplasts 33	envelope-outer-integral
AT1G02280.2	translocon at the outer envelope membrane of chloroplasts 33	envelope-outer-integral
AT1G02560.1	nuclear encoded CLP protease 5	plastid stroma
AT1G02660.1	alpha/beta-Hydrolases superfamily protein	plastid
AT1G02910.1	tetratricopeptide repeat (TPR)-containing protein	thylakoid-integral
AT1G03030.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid stroma
AT1G03055.1	beta-carotene isomerase D27-like protein	plastid
AT1G03055.2	beta-carotene isomerase D27-like protein	plastid
AT1G03130.1	photosystem I subunit D-2	thylakoid-peripheral-stromal-side
AT1G03160.1	FZO-like protein	envelope-inner-integral; thylakoid-integral
AT1G03160.2	FZO-like protein	envelope-inner-integral; thylakoid-integral
AT1G03310.1	debranching enzyme 1	plastid
AT1G03310.2	debranching enzyme 1	plastid
AT1G03475.1	Coproporphyrinogen III oxidase	plastid stroma
AT1G03600.1	photosystem II family protein	thylakoid-peripheral-lumenal-side
AT1G03630.1	protochlorophyllide oxidoreductase C	thylakoid-peripheral-stromal-side
AT1G03630.2	protochlorophyllide oxidoreductase C	thylakoid-peripheral-stromal-side
AT1G03680.1	thioredoxin M-type 1	thylakoid-peripheral-stromal-side
AT1G04420.1	NAD(P)-linked oxidoreductase superfamily protein	plastid stroma
AT1G04620.1	coenzyme F420 hydrogenase family / dehydrogenase%2C beta subunit family	plastid
AT1G04940.1	translocon at the inner envelope membrane of chloroplasts 20	envelope-inner-integral
AT1G05140.1	Peptidase M50 family protein	plastid
AT1G05190.1	Ribosomal protein L6 family	plastid ribosome
AT1G05385.1	photosystem II 11 kDa protein-like protein	thylakoid-peripheral-lumenal-side
AT1G05580.1	cation/H+ exchanger 23	envelope-inner
AT1G05580.2	cation/H+ exchanger 23	envelope-inner
AT1G05750.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT1G05800.1	alpha/beta-Hydrolases superfamily protein	plastid
AT1G05900.1	endonuclease III 2	plastid nucleoid
AT1G05900.2	endonuclease III 2	plastid nucleoid
AT1G06080.1	delta 9 desaturase 1	plastid
AT1G06130.1	glyoxalase 2-4	plastid stroma
AT1G06130.2	glyoxalase 2-4	plastid stroma
AT1G06190.1	Rho termination factor	plastid nucleoid
AT1G06190.2	Rho termination factor	plastid nucleoid
AT1G06380.1	Ribosomal protein L1p/L10e family	plastid stroma
AT1G06430.1	FTSH protease 8	thylakoid-integral
AT1G06680.1	photosystem II subunit P-1	thylakoid-peripheral-lumenal-side
AT1G06680.2	photosystem II subunit P-1	thylakoid-peripheral-lumenal-side
AT1G06690.1	NAD(P)-linked oxidoreductase superfamily protein	plastoglobules
AT1G06730.1	pfkB-like carbohydrate kinase family protein	plastid
AT1G06800.1	alpha/beta-Hydrolases superfamily protein	plastid
AT1G06800.2	alpha/beta-Hydrolases superfamily protein	plastid
AT1G06820.1	carotenoid isomerase	plastid
AT1G06870.1	Peptidase S24/S26A/S26B/S26C family protein	envelope-inner; thylakoid-peripheral-lumenal-side
AT1G06950.1	translocon at the inner envelope membrane of chloroplasts 110	envelope-inner-integral
AT1G07010.1	Calcineurin-like metallo-phosphoesterase superfamily protein	plastid
AT1G07010.2	Calcineurin-like metallo-phosphoesterase superfamily protein	plastid
AT1G07010.3	Calcineurin-like metallo-phosphoesterase superfamily protein	plastid
AT1G07160.1	Protein phosphatase 2C family protein	plastid
AT1G07320.1	ribosomal protein L4	plastid ribosome
AT1G07320.2	ribosomal protein L4	plastid ribosome
AT1G07320.3	ribosomal protein L4	plastid ribosome
AT1G07320.4	ribosomal protein L4	plastid ribosome
AT1G07700.1	Thioredoxin superfamily protein	plastid stroma
AT1G07700.2	Thioredoxin superfamily protein	plastid stroma
AT1G07700.3	Thioredoxin superfamily protein	plastid stroma
AT1G07780.1	phosphoribosylanthranilate isomerase 1	plastid stroma
AT1G07780.2	phosphoribosylanthranilate isomerase 1	plastid stroma
AT1G07780.3	phosphoribosylanthranilate isomerase 1	plastid stroma
AT1G07780.4	phosphoribosylanthranilate isomerase 1	plastid stroma
AT1G07780.5	phosphoribosylanthranilate isomerase 1	plastid stroma
AT1G08070.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT1G08250.1	arogenate dehydratase 6	plastid stroma
AT1G08380.1	photosystem I subunit O	thylakoid-integral
AT1G08490.1	chloroplastic NIFS-like cysteine desulfurase	plastid stroma
AT1G08510.1	fatty acyl-ACP thioesterases B	plastid
AT1G08520.1	ALBINA 1	plastid
AT1G08540.1	RNApolymerase sigma subunit 2	plastid stroma
AT1G08550.1	non-photochemical quenching 1	thylakoid-peripheral-lumenal-side
AT1G08550.2	non-photochemical quenching 1	thylakoid-peripheral-stromal-side
AT1G08570.1	atypical CYS HIS rich thioredoxin 4	plastid
AT1G08570.2	atypical CYS HIS rich thioredoxin 4	plastid
AT1G08570.3	atypical CYS HIS rich thioredoxin 4	plastid
AT1G08570.4	atypical CYS HIS rich thioredoxin 4	plastid
AT1G08640.1	Chloroplast J-like domain 1	envelope-inner-integral
AT1G09130.1	ATP-dependent caseinolytic (Clp) protease/crotonase family protein	plastid stroma
AT1G09130.2	ATP-dependent caseinolytic (Clp) protease/crotonase family protein	plastid stroma
AT1G09130.3	ATP-dependent caseinolytic (Clp) protease/crotonase family protein	plastid stroma
AT1G09340.1	chloroplast RNA binding protein	cytosol; plastid stroma
AT1G09795.1	ATP phosphoribosyl transferase 2	plastid stroma
AT1G09830.1	Glycinamide ribonucleotide (GAR) synthetase	plastid stroma
AT1G09940.1	Glutamyl-tRNA reductase family protein	plastid
AT1G10310.1	NAD(P)-binding Rossmann-fold superfamily protein	plastid stroma
AT1G10500.1	chloroplast-localized ISCA-like protein	plastid stroma
AT1G10510.1	RNI-like superfamily protein	plastid
AT1G10522.1	Serine/Threonine-kinase	plastid nucleoid
AT1G10522.2	Serine/Threonine-kinase	plastid nucleoid
AT1G10760.1	Pyruvate phosphate dikinase%2C PEP/pyruvate binding domain-containing protein	plastid stroma
AT1G10830.1	15-cis-zeta-carotene isomerase	plastid
AT1G10830.2	15-cis-zeta-carotene isomerase	plastid
AT1G10910.1	Pentatricopeptide repeat (PPR) superfamily protein	plastid
AT1G10960.1	ferredoxin 1	thylakoid-peripheral-stromal-side
AT1G11290.1	Pentatricopeptide repeat (PPR) superfamily protein	plastid
AT1G11320.1	GDSL esterase/lipase	plastid
AT1G11430.1	plastid developmental protein DAG	plastid stroma
AT1G11720.1	starch synthase 3	plastid stroma
AT1G11720.2	starch synthase 3	plastid stroma
AT1G11750.1	CLP protease proteolytic subunit 6	plastid stroma
AT1G11750.2	CLP protease proteolytic subunit 6	plastid stroma
AT1G11790.1	arogenate dehydratase 1	plastid stroma
AT1G11790.2	arogenate dehydratase 1	plastid stroma
AT1G11870.1	Seryl-tRNA synthetase	mitochondria; plastid stroma
AT1G11870.2	Seryl-tRNA synthetase	mitochondria; plastid stroma
AT1G11870.3	Seryl-tRNA synthetase	mitochondria; plastid stroma
AT1G12230.1	Aldolase superfamily protein	plastid stroma
AT1G12230.2	Aldolase superfamily protein	plastid stroma
AT1G12250.1	Pentapeptide repeat-containing protein	thylakoid-peripheral-lumenal-side
AT1G12250.2	Pentapeptide repeat-containing protein	thylakoid-peripheral-lumenal-side
AT1G12410.1	CLP protease proteolytic subunit 2	plastid stroma
AT1G12520.1	copper chaperone for SOD1	plastid stroma
AT1G12520.2	copper chaperone for SOD1	plastid stroma
AT1G12520.3	copper chaperone for SOD1	plastid stroma
AT1G12770.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid nucleoid
AT1G12800.1	Nucleic acid-binding%2C OB-fold-like protein	plastid stroma
AT1G12900.1	glyceraldehyde 3-phosphate dehydrogenase A subunit 2	plastid stroma
AT1G12900.2	glyceraldehyde 3-phosphate dehydrogenase A subunit 2	plastid stroma
AT1G12900.3	glyceraldehyde 3-phosphate dehydrogenase A subunit 2	plastid stroma
AT1G12900.4	glyceraldehyde 3-phosphate dehydrogenase A subunit 2	plastid stroma
AT1G13270.1	methionine aminopeptidase 1B	mitochondria; plastid stroma
AT1G13270.2	methionine aminopeptidase 1B	mitochondria; plastid stroma
AT1G13280.1	allene oxide cyclase 4	plastid stroma
AT1G13900.1	Purple acid phosphatases superfamily protein	envelope-outer; mitochondria
AT1G14030.1	Rubisco methyltransferase family protein	plastid stroma
AT1G14150.1	PsbQ-like 2	thylakoid-peripheral-lumenal-side
AT1G14150.2	PsbQ-like 2	thylakoid-peripheral-lumenal-side
AT1G14270.1	CAAX amino terminal protease family protein	mitochondria; plastid
AT1G14270.2	CAAX amino terminal protease family protein	mitochondria; plastid
AT1G14270.3	CAAX amino terminal protease family protein	mitochondria; plastid
AT1G14270.4	CAAX amino terminal protease family protein	mitochondria; plastid
AT1G14345.1	NAD(P)-linked oxidoreductase superfamily protein	thylakoid-integral
AT1G14410.1	ssDNA-binding transcriptional regulator	plastid stroma
AT1G14810.1	semialdehyde dehydrogenase family protein	plastid stroma
AT1G14830.1	DYNAMIN-like 1C	thylakoid-peripheral-stromal-side
AT1G15060.1	alpha/beta hydrolase family protein	plastid stroma
AT1G15140.1	FAD/NAD(P)-binding oxidoreductase	plastid stroma
AT1G15140.2	FAD/NAD(P)-binding oxidoreductase	plastid stroma
AT1G15140.3	FAD/NAD(P)-binding oxidoreductase	plastid stroma
AT1G15390.1	peptide deformylase 1A	mitochondria; plastid
AT1G15410.1	aspartate-glutamate racemase family	plastid stroma
AT1G15500.1	TLC ATP/ADP transporter	envelope-inner-integral
AT1G15510.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid stroma
AT1G15700.1	ATPase%2C F1 complex%2C gamma subunit protein	plastid
AT1G15710.1	prephenate dehydrogenase family protein	plastid stroma
AT1G15730.1	Cobalamin biosynthesis CobW-like protein	plastid
AT1G15820.1	light harvesting complex photosystem II subunit 6	thylakoid-integral
AT1G15980.1	NDH-dependent cyclic electron flow 1	thylakoid
