"Protein numbers (Bouchnak et al., Mol Cell Proteomics 2019) "	TAIR AGI	"Simplified location AT_CHLORO (Ferro et al., 2010)"	"Simplified location (Bouchnak et al., Mol Cell Proteomics 2019) "
1	AT5G50920	ENV-STR	ENV-STR
2	AT3G48870	ENV-STR	ENV
3	AT5G51070	STR-ENV	ENV-STR
4	ATCG00670	STR-ENV	ENV-STR
5	AT1G66670	STR-ENV	ENV-STR
6	AT5G45390	STR-ENV	ENV-STR
7	AT1G02560	STR-ENV	ENV-STR
8	AT1G11750	STR-ENV	ENV-STR
9	AT1G49970	STR-ENV	ENV-STR
10	AT1G12410	STR-ENV	ENV-STR
11	AT1G09130	ENV-STR	ENV-STR
12	AT4G17040	STR-ENV	ENV-STR
13	AT4G12060	ENV-STR	ENV-STR
14	AT4G25370	ENV-STR	ENV-STR
15	AT2G44650	ENV-STR	ENV-STR
16	AT5G20720	STR-ENV	ENV-STR
17	AT3G62030	STR-ENV	ENV-STR
18	AT2G47940	STR-ENV	ENV-STR
19	AT1G80030	ENV	ENV
20	AT3G17830	ENV	ENV
21	AT2G22360	ENV	ENV-OTH
22	AT4G39960	ENV	ENV
23	AT5G21430	ENV-THY	ENV-THY
24	AT4G23940	ENV	ENV
25	AT3G16290	ENV	ENV
26	AT3G02450	ENV	ENV
27	AT5G64580	ENV	ENV
28	AT3G04340	ENV	ENV
29	AT3G47060	ENV	ENV
30	AT5G58870	ENV	ENV
31	AT5G53170	ENV	ENV
32	AT1G79560	ENV	ENV
33	AT1G67690	nd	ENV
34	AT2G38025	ENV	ENV
35	AT5G56730	ENV	ENV
36	AT1G25290	ENV	ENV
37	AT5G25752	ENV	ENV
38	AT1G73990	ENV-THY	ENV
39	AT2G03140	nd	ENV
40	AT3G47490	n/a	ENV
41	AT1G74640	ENV	ENV
42	AT5G19850	ENV	ENV
43	AT1G52510	STR-ENV	ENV-STR
44	AT4G36530	ENV	ENV
45	AT4G32900	nd	ENV
46	AT5G50330	nd	ENV
47	AT4G24810	nd	ENV
48	AT5G03900	ENV	ENV-OTH
49	AT3G20390	ENV-STR	ENV-STR
50	AT1G18500	STR	ENV
51	AT5G39410	ENV	ENV-OTH
52	AT4G27070	STR-ENV	ENV
53	AT5G51690	ENV	ENV
54	AT4G34240	ENV	ENV
55	AT3G01500	ENV-STR	ENV-STR
56	AT5G14740	ENV-STR	ENV-STR
57	AT3G47520	ENV-STR	ENV-STR
58	AT1G12230	ENV-STR	ENV
59	AT1G16880	STR-ENV	ENV-STR
60	AT3G07670	nd	ENV
61	AT1G22410	nd	ENV
62	AT4G39980	nd	ENV
63	AT1G62960	n/a	ENV
64	AT3G25760	ENV	ENV-OTH
65	AT3G25770	ENV-STR	ENV-STR
66	AT3G25780	ENV	ENV
67	AT1G13280	ENV	ENV-OTH
68	AT5G42650	ENV-THY	ENV-THY
