condition	total_plastid_transcripts
Leaf_Control_0h	990758.3170475342
Leaf_Control_14d	801114.0320052109
Leaf_Control_21d	623687.8888244205
Leaf_Control_2d	1072141.0203913099
Leaf_Control_4d	905471.7786250956
Leaf_Control_7d	1244478.152532236
Leaf_FeEX_14d	823288.0146598619
Leaf_FeEX_21d	429165.9497668437
Leaf_FeEX_2d	863374.455898157
Leaf_FeEX_4d	1099418.3552173185
Leaf_FeEX_7d	1075138.0604943705
Leaf_FeLim_14d	534252.8289507652
Leaf_FeLim_21d	498438.79873500584
Leaf_FeLim_2d	1062017.081543499
Leaf_FeLim_4d	1014582.3744455685
Leaf_FeLim_7d	587209.7626969907
Leaf_ZnEx_14d	936780.1475556503
Leaf_ZnEx_21d	327281.85489390115
Leaf_ZnEx_2d	642110.846159286
Leaf_ZnEx_4d	846471.48610452
Leaf_ZnEx_7d	899913.770803633
Leaf_ZnLim_14d	876279.8462407948
Leaf_ZnLim_21d	371877.3991762338
Leaf_ZnLim_2d	866967.7011782314
Leaf_ZnLim_4d	1083504.859237821
Leaf_ZnLim_7d	1259020.3452119422
Root_Control_0h	80733.62113566758
Root_Control_14d	71622.49734974816
Root_Control_1h	71466.74171147533
Root_Control_21d	70245.8361227315
Root_Control_2d	89379.38545070568
Root_Control_4d	78848.09320160533
Root_Control_7d	80417.17026982829
Root_FeEX_14d	73390.55802745796
Root_FeEX_1h	78885.9098613337
Root_FeEX_21d	68985.181325766
Root_FeEX_2d	74360.53564873394
Root_FeEX_4d	75642.36063478577
Root_FeEX_7d	71010.56830824727
Root_FeLim_14d	76445.39079268795
Root_FeLim_1h	78354.37440880087
Root_FeLim_21d	67660.34650114254
Root_FeLim_2d	89145.41856513236
Root_FeLim_4d	83794.55068227852
Root_FeLim_7d	75712.80990650857
Root_ZnEx_14d	76654.49527842701
Root_ZnEx_1h	71397.97093990858
Root_ZnEx_21d	80078.24945281584
Root_ZnEx_2d	79904.11172165743
Root_ZnEx_4d	68550.05485361024
Root_ZnEx_7d	68000.1379205864
Root_ZnLim_14d	77739.74779155478
Root_ZnLim_1h	80140.81565408673
Root_ZnLim_21d	69087.63984794013
Root_ZnLim_2d	76734.05881770155
Root_ZnLim_4d	93686.7241722207
Root_ZnLim_7d	73089.50783148193
