condition	reaction_id	reaction_score	limiting_subunit	relative_reaction_score
Leaf_Control_0h	rxn00001_d0	1629.2578592469083	Sobic.004G311100	0.001644455394633584
Leaf_Control_14d	rxn00001_d0	916.979338181725	Sobic.004G311100	0.0011446302293401352
Leaf_Control_21d	rxn00001_d0	660.73177531698	Sobic.004G311100	0.0010593949107499633
Leaf_Control_2d	rxn00001_d0	1883.274778745224	Sobic.004G311100	0.001756555101359583
Leaf_Control_4d	rxn00001_d0	1025.4139430497437	Sobic.004G311100	0.0011324637247190333
Leaf_Control_7d	rxn00001_d0	1629.1179377958968	Sobic.004G311100	0.0013090771698008555
Leaf_FeEX_14d	rxn00001_d0	1172.1311130574145	Sobic.004G311100	0.0014237193936822653
Leaf_FeEX_21d	rxn00001_d0	502.8983931666353	Sobic.004G311100	0.0011718040386005666
Leaf_FeEX_2d	rxn00001_d0	1376.362752426272	Sobic.004G311100	0.0015941666365313764
Leaf_FeEX_4d	rxn00001_d0	1289.5803659673113	Sobic.004G311100	0.001172966014117896
Leaf_FeEX_7d	rxn00001_d0	1652.9244967343432	Sobic.004G311100	0.001537406736372345
Leaf_FeLim_14d	rxn00001_d0	783.4833752848702	Sobic.004G311100	0.001466502997885058
Leaf_FeLim_21d	rxn00001_d0	831.6356318361296	Sobic.004G311100	0.0016684809327579399
Leaf_FeLim_2d	rxn00001_d0	2280.2613177769267	Sobic.004G311100	0.0021471041826021044
Leaf_FeLim_4d	rxn00001_d0	1329.3166215274466	Sobic.004G311100	0.001310210639381419
Leaf_FeLim_7d	rxn00001_d0	761.834483436823	Sobic.004G311100	0.0012973804794010914
Leaf_ZnEx_14d	rxn00001_d0	983.086433780307	Sobic.004G311100	0.0010494313274523207
Leaf_ZnEx_21d	rxn00001_d0	455.74022066348726	Sobic.004G311100	0.0013925007263578056
Leaf_ZnEx_2d	rxn00001_d0	961.251069246803	Sobic.004G311100	0.0014970173374214413
Leaf_ZnEx_4d	rxn00001_d0	1102.37856674921	Sobic.004G311100	0.0013023221512426602
Leaf_ZnEx_7d	rxn00001_d0	938.5498742824484	Sobic.004G311100	0.001042933117296686
Leaf_ZnLim_14d	rxn00001_d0	1394.2858387154436	Sobic.004G311100	0.0015911421958371788
Leaf_ZnLim_21d	rxn00001_d0	505.7516405883696	Sobic.004G311100	0.001359995637564122
Leaf_ZnLim_2d	rxn00001_d0	1489.4490956517031	Sobic.004G311100	0.0017179983679063285
Leaf_ZnLim_4d	rxn00001_d0	1437.97343693096	Sobic.004G311100	0.0013271499658455484
Leaf_ZnLim_7d	rxn00001_d0	1770.0269736269502	Sobic.004G311100	0.0014058763866353452
Root_Control_0h	rxn00001_d0	43.5046616274848	Sobic.004G311100	0.0005388667201534049
Root_Control_14d	rxn00001_d0	37.01380386140716	Sobic.004G311100	0.0005167901878743595
Root_Control_1h	rxn00001_d0	28.749909740896133	Sobic.004G311100	0.00040228376238229697
Root_Control_21d	rxn00001_d0	30.904983174991468	Sobic.004G311100	0.00043995466323434705
Root_Control_2d	rxn00001_d0	26.588839509381	Sobic.004G311100	0.0002974829081147041
Root_Control_4d	rxn00001_d0	20.194287902217965	Sobic.004G311100	0.0002561163762144956
Root_Control_7d	rxn00001_d0	32.6644057096225	Sobic.004G311100	0.00040618695733786415
Root_FeEX_14d	rxn00001_d0	28.11785176775317	Sobic.004G311100	0.0003831262838638358
Root_FeEX_1h	rxn00001_d0	50.4238932652023	Sobic.004G311100	0.0006392002494975065
Root_FeEX_21d	rxn00001_d0	26.71305611790683	Sobic.004G311100	0.000387228903433055
Root_FeEX_2d	rxn00001_d0	25.451030942357733	Sobic.004G311100	0.00034226529866035276
Root_FeEX_4d	rxn00001_d0	31.54672428589903	Sobic.004G311100	0.0004170510283016153
Root_FeEX_7d	rxn00001_d0	30.23230631252715	Sobic.004G311100	0.0004257437594541252
Root_FeLim_14d	rxn00001_d0	27.122562811961306	Sobic.004G311100	0.00035479657479304297
Root_FeLim_1h	rxn00001_d0	36.129392632497336	Sobic.004G311100	0.00046110243244363436
Root_FeLim_21d	rxn00001_d0	28.9090190269066	Sobic.004G311100	0.0004272667895133884
Root_FeLim_2d	rxn00001_d0	22.21024721080153	Sobic.004G311100	0.0002491462552792216
Root_FeLim_4d	rxn00001_d0	33.17570307892577	Sobic.004G311100	0.0003959171904234819
Root_FeLim_7d	rxn00001_d0	29.344957466052165	Sobic.004G311100	0.0003875824646091963
