condition	reaction_id	reaction_score	limiting_subunit
Leaf_Control_0h	rxn00001_d0	1629.2578592469083	Sobic.004G311100
Leaf_Control_14d	rxn00001_d0	916.979338181725	Sobic.004G311100
Leaf_Control_21d	rxn00001_d0	660.73177531698	Sobic.004G311100
Leaf_Control_2d	rxn00001_d0	1883.274778745224	Sobic.004G311100
Leaf_Control_4d	rxn00001_d0	1025.4139430497437	Sobic.004G311100
Leaf_Control_7d	rxn00001_d0	1629.1179377958968	Sobic.004G311100
Leaf_FeEX_14d	rxn00001_d0	1172.1311130574145	Sobic.004G311100
Leaf_FeEX_21d	rxn00001_d0	502.8983931666353	Sobic.004G311100
Leaf_FeEX_2d	rxn00001_d0	1376.362752426272	Sobic.004G311100
Leaf_FeEX_4d	rxn00001_d0	1289.5803659673113	Sobic.004G311100
Leaf_FeEX_7d	rxn00001_d0	1652.9244967343432	Sobic.004G311100
Leaf_FeLim_14d	rxn00001_d0	783.4833752848702	Sobic.004G311100
Leaf_FeLim_21d	rxn00001_d0	831.6356318361296	Sobic.004G311100
Leaf_FeLim_2d	rxn00001_d0	2280.2613177769267	Sobic.004G311100
Leaf_FeLim_4d	rxn00001_d0	1329.3166215274466	Sobic.004G311100
Leaf_FeLim_7d	rxn00001_d0	761.834483436823	Sobic.004G311100
Leaf_ZnEx_14d	rxn00001_d0	983.086433780307	Sobic.004G311100
Leaf_ZnEx_21d	rxn00001_d0	455.74022066348726	Sobic.004G311100
Leaf_ZnEx_2d	rxn00001_d0	961.251069246803	Sobic.004G311100
Leaf_ZnEx_4d	rxn00001_d0	1102.37856674921	Sobic.004G311100
Leaf_ZnEx_7d	rxn00001_d0	938.5498742824484	Sobic.004G311100
Leaf_ZnLim_14d	rxn00001_d0	1394.2858387154436	Sobic.004G311100
Leaf_ZnLim_21d	rxn00001_d0	505.7516405883696	Sobic.004G311100
Leaf_ZnLim_2d	rxn00001_d0	1489.4490956517031	Sobic.004G311100
Leaf_ZnLim_4d	rxn00001_d0	1437.97343693096	Sobic.004G311100
Leaf_ZnLim_7d	rxn00001_d0	1770.0269736269502	Sobic.004G311100
Root_Control_0h	rxn00001_d0	43.5046616274848	Sobic.004G311100
Root_Control_14d	rxn00001_d0	37.01380386140716	Sobic.004G311100
Root_Control_1h	rxn00001_d0	28.749909740896133	Sobic.004G311100
Root_Control_21d	rxn00001_d0	30.904983174991468	Sobic.004G311100
Root_Control_2d	rxn00001_d0	26.588839509380996	Sobic.004G311100
Root_Control_4d	rxn00001_d0	20.194287902217965	Sobic.004G311100
Root_Control_7d	rxn00001_d0	32.6644057096225	Sobic.004G311100
Root_FeEX_14d	rxn00001_d0	28.11785176775317	Sobic.004G311100
Root_FeEX_1h	rxn00001_d0	50.4238932652023	Sobic.004G311100
Root_FeEX_21d	rxn00001_d0	26.71305611790683	Sobic.004G311100
Root_FeEX_2d	rxn00001_d0	25.451030942357733	Sobic.004G311100
Root_FeEX_4d	rxn00001_d0	31.54672428589903	Sobic.004G311100
Root_FeEX_7d	rxn00001_d0	30.23230631252715	Sobic.004G311100
Root_FeLim_14d	rxn00001_d0	27.122562811961306	Sobic.004G311100
Root_FeLim_1h	rxn00001_d0	36.129392632497336	Sobic.004G311100
Root_FeLim_21d	rxn00001_d0	28.9090190269066	Sobic.004G311100
Root_FeLim_2d	rxn00001_d0	22.21024721080153	Sobic.004G311100
Root_FeLim_4d	rxn00001_d0	33.17570307892577	Sobic.004G311100
Root_FeLim_7d	rxn00001_d0	29.344957466052165	Sobic.004G311100
Root_ZnEx_14d	rxn00001_d0	43.41747605937405	Sobic.004G311100
Root_ZnEx_1h	rxn00001_d0	28.48107833869693	Sobic.004G311100
Root_ZnEx_21d	rxn00001_d0	34.07284971425	Sobic.004G311100
Root_ZnEx_2d	rxn00001_d0	50.2127652224431	Sobic.004G311100
Root_ZnEx_4d	rxn00001_d0	28.7088730452467	Sobic.004G311100
Root_ZnEx_7d	rxn00001_d0	34.66103809538313	Sobic.004G311100
Root_ZnLim_14d	rxn00001_d0	24.8763162018134	Sobic.004G311100
Root_ZnLim_1h	rxn00001_d0	36.812003677519336	Sobic.004G311100
Root_ZnLim_21d	rxn00001_d0	28.2230782253037	Sobic.004G311100
Root_ZnLim_2d	rxn00001_d0	25.181529189227103	Sobic.004G311100
Root_ZnLim_4d	rxn00001_d0	35.667373869876435	Sobic.004G311100
Root_ZnLim_7d	rxn00001_d0	26.999745499667	Sobic.004G311100
Leaf_Control_0h	rxn00018_d0	9861.486222136398	Sobic.005G042000
Leaf_Control_14d	rxn00018_d0	5663.541981173806	Sobic.005G042000
Leaf_Control_21d	rxn00018_d0	4226.121756878451	Sobic.005G042000
Leaf_Control_2d	rxn00018_d0	9169.30825183248	Sobic.005G042000
Leaf_Control_4d	rxn00018_d0	6386.289099911594	Sobic.005G042000
Leaf_Control_7d	rxn00018_d0	9123.73445482335	Sobic.005G042000
Leaf_FeEX_14d	rxn00018_d0	6828.41981423889	Sobic.005G042000
Leaf_FeEX_21d	rxn00018_d0	1832.0773667576184	Sobic.005G042000
Leaf_FeEX_2d	rxn00018_d0	7887.933720932615	Sobic.005G042000
Leaf_FeEX_4d	rxn00018_d0	9307.496059551933	Sobic.005G042000
Leaf_FeEX_7d	rxn00018_d0	9934.642019162666	Sobic.005G042000
Leaf_FeLim_14d	rxn00018_d0	5370.696333611318	Sobic.005G042000
Leaf_FeLim_21d	rxn00018_d0	3942.6310425725046	Sobic.005G042000
Leaf_FeLim_2d	rxn00018_d0	13550.445732911932	Sobic.005G042000
Leaf_FeLim_4d	rxn00018_d0	9217.316674701484	Sobic.005G042000
Leaf_FeLim_7d	rxn00018_d0	5755.099935597151	Sobic.005G042000
Leaf_ZnEx_14d	rxn00018_d0	7062.928200980616	Sobic.005G042000
Leaf_ZnEx_21d	rxn00018_d0	1637.6201128916066	Sobic.005G042000
Leaf_ZnEx_2d	rxn00018_d0	3691.8192892712086	Sobic.005G042000
Leaf_ZnEx_4d	rxn00018_d0	6240.812740772472	Sobic.005G042000
Leaf_ZnEx_7d	rxn00018_d0	5960.80777819729	Sobic.005G042000
Leaf_ZnLim_14d	rxn00018_d0	8393.327067067818	Sobic.005G042000
Leaf_ZnLim_21d	rxn00018_d0	1956.7963298535635	Sobic.005G042000
